date,year,time,site,block,treatment,site_type,wetland_id,pair_id,temp,water,wind,species,method,25m,50m,total
5/16/2023,2023,6:50,halidon,4,none,wetland,HH02,UP02A,65,no,0,WEVI,,1,,1
5/16/2023,2023,6:50,halidon,4,none,wetland,HH02,UP02A,65,no,0,NOCA,,3,,3
5/16/2023,2023,6:50,halidon,4,none,wetland,HH02,UP02A,65,no,0,TUTI,,1,1,2
5/16/2023,2023,6:50,halidon,4,none,wetland,HH02,UP02A,65,no,0,RBWO,,,1,1
5/16/2023,2023,6:50,halidon,4,none,wetland,HH02,UP02A,65,no,0,CACH,,,1,1
5/16/2023,2023,6:50,halidon,4,none,wetland,HH02,UP02A,65,no,0,NOPA,,1,,1
5/16/2023,2023,6:50,halidon,4,none,wetland,HH02,UP02A,65,no,0,AMRO,,,1,1
5/16/2023,2023,6:50,halidon,4,none,wetland,HH02,UP02A,65,no,0,REVI,,,1,1
5/16/2023,2023,7:03,halidon,4,none,upland,UP02A,HH02,65,,0,SUTA,,1,,1
5/16/2023,2023,7:03,halidon,4,none,upland,UP02A,HH02,65,,0,INBU,,1,,1
5/16/2023,2023,7:03,halidon,4,none,upland,UP02A,HH02,65,,0,TUTI,,,1,1
5/16/2023,2023,7:03,halidon,4,none,upland,UP02A,HH02,65,,0,BHCO,,,1,1
5/16/2023,2023,7:03,halidon,4,none,upland,UP02A,HH02,65,,0,AMRO,,,1,1
5/16/2023,2023,7:12,halidon,4,none,wetland,HH01,UP01A,68,no,0,COYE,,2,1,3
5/16/2023,2023,7:12,halidon,4,none,wetland,HH01,UP01A,68,no,0,NOCA,,1,,1
5/16/2023,2023,7:12,halidon,4,none,wetland,HH01,UP01A,68,no,0,INBU,,,1,1
5/16/2023,2023,7:25,halidon,4,none,upland,UP01A,HH01,69,,0,TUTI,,,1,1
5/16/2023,2023,7:25,halidon,4,none,upland,UP01A,HH01,69,,0,NOCA,,,1,1
5/16/2023,2023,7:25,halidon,4,none,upland,UP01A,HH01,69,,0,EABL,,,1,1
5/16/2023,2023,7:45,halidon,4,none,wetland,HH04,UP04,72,no,0,TUTI,,2,,2
5/16/2023,2023,7:45,halidon,4,none,wetland,HH04,UP04,72,no,0,COYE,,,1,1
5/16/2023,2023,7:45,halidon,4,none,wetland,HH04,UP04,72,no,0,BGGN,,1,,1
5/16/2023,2023,8:01,halidon,4,none,upland,UP04,HH04,72,,0,COYE,,1,1,2
5/16/2023,2023,8:01,halidon,4,none,upland,UP04,HH04,72,,0,YBCH,,,1,1
5/16/2023,2023,8:01,halidon,4,none,upland,UP04,HH04,72,,0,EABL,,,2,2
